,body_shape,colour,condition,displacement,fuel,has_mfk,performance,price,curb_weight,registration_age,mileage,brand
4860,Strasse,schwarz,Occasion,1140.0,Benzin,False,90.0,16900,323.0,65,2400.0,Honda
4861,Strasse,weiss,Occasion,1140.0,Benzin,False,90.0,6300,323.0,80,8900.0,Honda
4862,Strasse,schwarz,Occasion,1140.0,Benzin,False,90.0,6550,323.0,79,27215.0,Honda
4863,Strasse,bordeaux,Occasion,1140.0,Benzin,False,90.0,6900,323.0,77,11500.0,Honda
4864,Strasse,weiss,Occasion,1140.0,Benzin,False,90.0,6750,323.0,79,6317.0,Honda
4865,Strasse,weiss,Occasion,1140.0,Benzin,False,90.0,6980,323.0,75,14800.0,Honda
4866,Strasse,weiss,Occasion,1140.0,Benzin,False,90.0,6990,323.0,80,4900.0,Honda
4867,Strasse,schwarz,Occasion,1140.0,Benzin,True,90.0,8400,323.0,29,4700.0,Honda
4868,Strasse,schwarz,Occasion,1140.0,Benzin,False,90.0,6490,323.0,80,15747.0,Honda
4869,Strasse,weiss,Occasion,1140.0,Benzin,False,90.0,6900,323.0,75,4200.0,Honda
4870,Strasse,schwarz,Occasion,1140.0,Benzin,False,90.0,15990,323.0,56,1600.0,Honda
4871,Strasse,rot,Vorführmodell,124.0,Benzin,True,15.0,4700,219.0,21,900.0,Aprilia
4872,Strasse,rot,Occasion,998.0,Benzin,False,139.0,7900,284.0,139,18800.0,Aprilia
4873,Strasse,weiss,Occasion,998.0,Benzin,False,139.0,5700,284.0,148,38500.0,Aprilia
4874,Strasse,blau,Occasion,998.0,Benzin,False,133.0,9900,284.0,100,800.0,Aprilia
4875,Strasse,schwarz,Occasion,998.0,Benzin,False,125.0,4400,285.0,189,33000.0,Aprilia
4876,Strasse,weiss,Occasion,998.0,Benzin,False,133.0,4900,284.0,127,18731.0,Aprilia
4877,Strasse,mehrfarbig,Occasion,998.0,Benzin,False,139.0,4900,284.0,151,20100.0,Aprilia
4878,Strasse,schwarz,Occasion,998.0,Benzin,False,125.0,3800,285.0,160,22680.0,Aprilia
4879,Strasse,rot,Occasion,998.0,Benzin,False,133.0,4900,284.0,139,26200.0,Aprilia
4880,Strasse,mehrfarbig,Occasion,998.0,Benzin,False,133.0,6500,284.0,151,8500.0,Aprilia
4881,Strasse,grau,Occasion,998.0,Benzin,False,125.0,2990,285.0,187,15200.0,Aprilia
